CUENTA	RUBRO	LINEA	ITEM	GLOSA
411280209	41128	02	09	Otros créditos para operaciones entre terceros países
411280300	41128	03	00	Deudores en cuentas corrientes
411280400	41128	04	00	Deudores por tarjetas de crédito
411280500	41128	05	00	Operaciones de factoraje
411280501	41128	05	01	Factoring con responsabilidad
411280502	41128	05	02	Factoring sin responsabilidad
411280600	41128	06	00	Operaciones de leasing financiero comercial
411280601	41128	06	01	Leasing por bienes inmobiliarios
411280602	41128	06	02	Leasing por bienes no inmobiliarios
411280700	41128	07	00	Préstamos estudiantiles
411280701	41128	07	01	Créditos para estudios superiores Ley N° 20.027
411280702	41128	07	02	Créditos con garantía CORFO
411280709	41128	07	09	Otros créditos para estudios superiores
411280900	41128	09	00	Otros créditos y cuentas por cobrar
411280901	41128	09	01	Deudores por pago de obligaciones avaladas
411280902	41128	09	02	Deudores por boletas de garantía pagadas
411280990	41128	09	90	Otras cuentas por cobrar
411350000	41135	00	00	Colocaciones para vivienda
411350100	41135	01	00	Préstamos con letras de crédito para vivienda
411350200	41135	02	00	Préstamos con mutuos hipotecarios endosable
411350300	41135	03	00	Préstamos con mutuos financiados con bonos hipotecarios
411350400	41135	04	00	Otros créditos con mutuos para vivienda
411350401	41135	04	01	Otros créditos con mutuos no endosables para vivienda
411350402	41135	04	02	Otros créditos con mutuos para vivienda
411350500	41135	05	00	Operaciones de leasing financiero para vivienda
411350900	41135	09	00	Otros créditos y cuentas por cobrar
411350901	41135	09	01	Créditos complementarios a los mutuos
411350902	41135	09	02	Créditos de enlace
411350903	41135	09	03	Créditos provenientes de la ANAP
411350990	41135	09	90	Cuentas por cobrar a deudores para vivienda
411380000	41138	00	00	Colocaciones de consumo
411380100	41138	01	00	Créditos de consumo en cuotas
411380200	41138	02	00	Deudores en cuentas corrientes
411380300	41138	03	00	Deudores por tarjetas de crédito
411380400	41138	04	00	Operaciones de leasing financiero de consumo
411380900	41138	09	00	Otros créditos y cuentas por cobrar
411380901	41138	09	01	Créditos de consumo rotativos
411380990	41138	09	90	Cuentas por cobrar a deudores de consumo
411450000	41145	00	00	Otros instrumentos financieros
411450100	41145	01	00	Depósitos en el Banco Central de Chile
411450101	41145	01	01	Depósitos en cuenta corriente
411450102	41145	01	02	Depósitos overnight
411450109	41145	01	09	Otros depósitos disponibles
411450200	41145	02	00	Depósitos en Bancos Centrales del exterior
411450201	41145	02	01	Depósitos en cuenta corriente
411450202	41145	02	02	Depósitos overnight
411450209	41145	02	09	Otros depósitos disponibles
411450300	41145	03	00	Depósitos en bancos del país
411450400	41145	04	00	Depósitos en bancos del exterior
411450900	41145	09	00	Otros intereses ganados
411700000	41170	00	00	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
411720000	41172	00	00	Instrumentos financieros de deuda
411720100	41172	01	00	Del Estado y Banco Central de Chile
411720101	41172	01	01	Instrumentos financieros de deuda del Banco Central de Chile
411720102	41172	01	02	Bonos y pagarés de la Tesorería General de la República
411720109	41172	01	09	Otros instrumentos financieros de deuda fiscales
411720200	41172	02	00	Otros instrumentos financieros de deuda emitidos en el país
411720201	41172	02	01	Instrumentos financieros de deuda de otros bancos del país
411720202	41172	02	02	Bonos y efectos de comercio de empresas del país
411720209	41172	02	09	Otros instrumentos financieros de deuda emitidos en el país
411720300	41172	03	00	Instrumentos financieros de deuda emitidos en el exterior
411720301	41172	03	01	Instrumentos financieros de deuda de Bancos Centrales en el exterior
411720302	41172	03	02	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
411720303	41172	03	03	Instrumentos financieros de deuda de otros bancos en el exterior
411720304	41172	03	04	Bonos y efectos de comercio de empresas en el exterior
411720309	41172	03	09	Otros instrumentos financieros de deuda emitidos en el exterior
411740000	41174	00	00	Otros instrumentos financieros
411740100	41174	01	00	Créditos originados y adquiridos por la entidad
411740101	41174	01	01	Adeudado por bancos
411740102	41174	01	02	Colocaciones comerciales
411740103	41174	01	03	Colocaciones para vivienda
411740104	41174	01	04	Colocaciones de consumo
411740200	41174	02	00	Otros
411800000	41180	00	00	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS
411800100	41180	01	00	Utilidad por contratos de derivados financieros para cobertura contable
411800200	41180	02	00	Pérdida por contratos de derivados financieros para cobertura contable
411800300	41180	03	00	Resultados por ajuste de activos financieros cubiertos
412000000	41200	00	00	GASTOS POR INTERESES
412100000	41210	00	00	PASIVOS FINANCIEROS A COSTO AMORTIZADO
412150000	41215	00	00	Depósitos y otras obligaciones a la vista
412150100	41215	01	00	Cuentas corrientes
412150101	41215	01	01	Cuentas corrientes de bancos del país
412150102	41215	01	02	Cuentas corrientes de bancos del exterior
412150103	41215	01	03	Cuentas corrientes de otras personas jurídicas
412150104	41215	01	04	Cuentas corrientes de personas naturales
412150200	41215	02	00	Cuentas de depósito a la vista
412150201	41215	02	01	Cuentas de ahorro a la vista
412150202	41215	02	02	Cuentas a la vista
412150300	41215	03	00	Otros depósitos a la vista
412150500	41215	05	00	Otras obligaciones a la vista
412180000	41218	00	00	Depósitos y otras captaciones a plazo
412180100	41218	01	00	Depósitos a plazo
412180200	41218	02	00	Cuentas de ahorro a plazo
412180201	41218	02	01	Cuentas de ahorro a plazo con giro diferido
412180202	41218	02	02	Cuentas de ahorro a plazo con giro incondicional
412180300	41218	03	00	Otros saldos acreedores a plazo
412180301	41218	03	01	Boletas de garantías pagaderas con 30 días de aviso
412180302	41218	03	02	Depósitos en cuentas overnight
412180390	41218	03	90	Otros
412250000	41225	00	00	Obligaciones por pactos de retrocompra y préstamos de valores
412250100	41225	01	00	Operaciones con bancos del país
412250101	41225	01	01	Contratos de retrocompra con otros bancos
412250102	41225	01	02	Contratos de retrocompra con Banco Central de Chile
412250103	41225	01	03	Obligaciones por préstamos de valores
412250200	41225	02	00	Operaciones con bancos del exterior
412250201	41225	02	01	Contratos de retrocompra con otros bancos
412250202	41225	02	02	Contratos de retrocompra con Bancos Centrales del exterior
412250203	41225	02	03	Obligaciones por préstamos de valores
412250300	41225	03	00	Operaciones con otras entidades en el país
412250301	41225	03	01	Contratos de retrocompra
412250302	41225	03	02	Obligaciones por préstamos de valores
412250400	41225	04	00	Operaciones con otras entidades en el exterior
412250401	41225	04	01	Contratos de retrocompra
412250402	41225	04	02	Obligaciones por préstamos de valores
412280000	41228	00	00	Obligaciones con bancos
412280100	41228	01	00	Bancos del país
412280110	41228	01	10	Financiamientos de comercio exterior
412280111	41228	01	11	Financiamientos para exportaciones chilenas
412280112	41228	01	12	Financiamientos para importaciones chilenas
412280113	41228	01	13	Obligaciones por operaciones entre terceros países
412280120	41228	01	20	Préstamos y otras obligaciones
412280121	41228	01	21	Préstamos interbancarios de liquidez
412280122	41228	01	22	Préstamos interbancarios comerciales
412280123	41228	01	23	Sobregiros en cuentas corrientes
412280124	41228	01	24	Depósitos a plazo no transferibles
412280129	41228	01	29	Otras obligaciones
412280200	41228	02	00	Bancos del exterior
412280210	41228	02	10	Financiamientos de comercio exterior
412280211	41228	02	11	Financiamientos para exportaciones chilenas
412280212	41228	02	12	Financiamientos para importaciones chilenas
412280213	41228	02	13	Obligaciones por operaciones entre terceros países
412280220	41228	02	20	Préstamos y otras obligaciones
412280221	41228	02	21	Préstamos interbancarios de liquidez
412280222	41228	02	22	Préstamos interbancarios comerciales
412280223	41228	02	23	Sobregiros en cuentas corrientes
412280224	41228	02	24	Depósitos a plazo no transferibles
412280229	41228	02	29	Otras obligaciones
412280300	41228	03	00	Banco Central de Chile
412280301	41228	03	01	Préstamos y otras obligaciones
412280302	41228	03	02	Líneas de crédito por reprogramación de deudas
412280400	41228	04	00	Bancos Centrales del exterior
412280401	41228	04	01	Préstamos y otras obligaciones
412280402	41228	04	02	Líneas de crédito por reprogramación de deudas
412350000	41235	00	00	Instrumentos financieros de deuda emitidos
412350100	41235	01	00	Letras de Créditos
412350101	41235	01	01	Letras de crédito para vivienda
412350102	41235	01	02	Letras de crédito para fines generales
412350200	41235	02	00	Bonos
412350201	41235	02	01	Bonos corrientes
412350203	41235	02	03	Bonos hipotecarios
412380000	41238	00	00	Otras obligaciones financieras
412380100	41238	01	00	Obligaciones con el sector público
412380101	41238	01	01	Financiamientos de CORFO
412380102	41238	01	02	Obligaciones con otros organismos gubernamentales
412380200	41238	02	00	Otras obligaciones en el país
412380201	41238	02	01	Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
412380202	41238	02	02	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas
412380203	41238	02	03	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas
412380204	41238	02	04	Adeudado a operadores por servicios de operación de tarjetas de crédito
412380205	41238	02	05	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas
412380206	41238	02	06	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas
412380207	41238	02	07	Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
412380208	41238	02	08	Obligaciones a favor de exportadores chilenos
412380290	41238	02	90	Otros créditos obtenidos en el país
412380300	41238	03	00	Obligaciones con el exterior
412380301	41238	03	01	Adeudado a establecimientos afiliados por el uso de tarjetas
412380302	41238	03	02	Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)
412380303	41238	03	03	Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
412380304	41238	03	04	Obligaciones a favor de exportadores extranjeros
412380305	41238	03	05	Adeudado a organismos internacionales
412380306	41238	03	06	Otros créditos obtenidos en el exterior
412450000	41245	00	00	OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO
412500000	41250	00	00	INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
412500100	41250	01	00	Bonos subordinados
412800000	41280	00	00	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS
412800100	41280	01	00	Utilidad por contratos de derivados financieros para cobertura contable
412800200	41280	02	00	Pérdida por contratos de derivados financieros para cobertura contable
412800300	41280	03	00	Resultados por ajuste de pasivos financieros cubiertos
520000000	52000	00	00	INGRESO NETO POR INTERESES
415000000	41500	00	00	INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC
415100000	41510	00	00	ACTIVOS FINANCIEROS A COSTO AMORTIZADO
415150000	41515	00	00	Derechos por pactos de retroventa y prestamos de valores
415150100	41515	01	00	Operaciones con bancos del país
415150101	41515	01	01	Contratos de retroventa con otros bancos
415150102	41515	01	02	Contratos de retroventa con Banco Central de Chile
415150103	41515	01	03	Derechos por préstamos de valores
415150200	41515	02	00	Operaciones con bancos del exterior
415150201	41515	02	01	Contratos de retroventa con otros bancos
415150202	41515	02	02	Contratos de retroventa con Bancos Centrales del exterior
415150203	41515	02	03	Derechos por préstamos de valores
415150300	41515	03	00	Operaciones con otras entidades en el país
415150301	41515	03	01	Contratos de retroventa
415150302	41515	03	02	Derechos por préstamos de valores
415150400	41515	04	00	Operaciones con otras entidades en el exterior
415150401	41515	04	01	Contratos de retroventa
415150402	41515	04	02	Derechos por préstamos de valores
415200000	41520	00	00	Instrumentos financieros de deuda
415200100	41520	01	00	Del Estado y Banco Central de Chile
415200101	41520	01	01	Instrumentos financieros de deuda del Banco Central de Chile
415200102	41520	01	02	Bonos y pagarés de la Tesorería General de la República
415200109	41520	01	09	Otros instrumentos financieros de deuda fiscales
415200200	41520	02	00	Otros instrumentos financieros de deuda emitidos en el país
415200201	41520	02	01	Instrumentos financieros de deuda de otros bancos del país
415200202	41520	02	02	Bonos y efectos de comercio de empresas del país
415200209	41520	02	09	Otros instrumentos financieros de deuda emitidos en el país
415200300	41520	03	00	Instrumentos financieros de deuda emitidos en el exterior
415200301	41520	03	01	Instrumentos financieros de deuda de Bancos Centrales en el exterior
415200302	41520	03	02	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
415200303	41520	03	03	Instrumentos financieros de deuda de otros bancos en el exterior
415200304	41520	03	04	Bonos y efectos de comercio de empresas en el exterior
415200309	41520	03	09	Otros instrumentos financieros de deuda emitidos en el exterior
415250000	41525	00	00	Adeudado por bancos
415250100	41525	01	00	Bancos del país
415250101	41525	01	01	Préstamos interbancarios de liquidez
415250102	41525	01	02	Préstamos interbancarios comerciales
415250103	41525	01	03	Sobregiros en cuentas corrientes
415250104	41525	01	04	Créditos comercio exterior exportaciones chilenas
415250105	41525	01	05	Créditos comercio exterior importaciones chilenas
415250106	41525	01	06	Créditos comercio exterior entre terceros países
415250107	41525	01	07	Depósitos no transferibles en bancos del país
415250190	41525	01	90	Otras acreencias con bancos del país
415250200	41525	02	00	Bancos del exterior
415250201	41525	02	01	Préstamos interbancarios de liquidez
415250202	41525	02	02	Préstamos interbancarios comerciales
415250203	41525	02	03	Sobregiros en cuentas corrientes
415250204	41525	02	04	Créditos comercio exterior exportaciones chilenas
415250205	41525	02	05	Créditos comercio exterior importaciones chilenas
415250206	41525	02	06	Créditos comercio exterior entre terceros países
415250207	41525	02	07	Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
415250208	41525	02	08	Otros depósitos no transferibles en bancos del exterior
415250290	41525	02	90	Otras acreencias con bancos del exterior
415250300	41525	03	00	Banco Central de Chile
415250301	41525	03	01	Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER
415250302	41525	03	02	Otros depósitos en el Banco Central de Chile no disponibles
415250390	41525	03	90	Otras acreencias con el Banco Central de Chile
415250400	41525	04	00	Bancos Centrales del exterior
415250401	41525	04	01	Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
415250402	41525	04	02	Otros depósitos en Bancos Centrales del exterior no disponibles
415250403	41525	04	03	Otras acreencias con Bancos Centrales del exterior
415280000	41528	00	00	Colocaciones comerciales
415280100	41528	01	00	Préstamos comerciales
415280101	41528	01	01	Préstamos en el país
415280102	41528	01	02	Préstamos en el exterior
415280103	41528	01	03	Créditos para infraestructura escolar Ley N° 20.845
415280104	41528	01	04	Préstamos con letras de crédito para fines generales
415280105	41528	01	05	Préstamos con mutuos hipotecarios endosables para fines generales
415280106	41528	01	06	Préstamos con mutuos hipotecarios no endosables para fines generales
415280200	41528	02	00	Créditos de comercio exterior
415280201	41528	02	01	Acreditivos negociados a plazo de exportaciones chilenas
415280209	41528	02	09	Otros créditos para exportaciones chilenas
415280221	41528	02	21	Acreditivos negociados a plazo de importaciones chilenas
415280229	41528	02	29	Otros créditos para importaciones chilenas
415280231	41528	02	31	Acreditivos negociados a plazo de operaciones entre terceros países
415280239	41528	02	39	Otros créditos para operaciones entre terceros países
415280300	41528	03	00	Deudores en cuentas corrientes
415280400	41528	04	00	Deudores por tarjetas de crédito
415280500	41528	05	00	Operaciones de factoraje
415280501	41528	05	01	Factoring con responsabilidad
415280502	41528	05	02	Factoring sin responsabilidad
415280600	41528	06	00	Operaciones de leasing financiero comercial
415280601	41528	06	01	Leasing por bienes inmobiliarios
415280602	41528	06	02	Leasing por bienes no inmobiliarios
415280700	41528	07	00	Préstamos estudiantiles
415280701	41528	07	01	Créditos para estudios superiores Ley N° 20.027
415280702	41528	07	02	Créditos con garantía CORFO
415280709	41528	07	09	Otros créditos para estudios superiores
415280900	41528	09	00	Otros créditos y cuentas por cobrar
415280901	41528	09	01	Deudores por pago de obligaciones avaladas
415280902	41528	09	02	Deudores por boletas de garantía pagadas
415280990	41528	09	90	Otras cuentas por cobrar
415350000	41535	00	00	Colocaciones para vivienda
415350100	41535	01	00	Préstamos con letras de crédito para vivienda
415350200	41535	02	00	Préstamos con mutuos hipotecarios endosable
415350300	41535	03	00	Préstamos con mutuos financiados con bonos hipotecarios
415350400	41535	04	00	Otros créditos con mutuos para vivienda
415350401	41535	04	01	Otros créditos con mutuos no endosables para vivienda
415350402	41535	04	02	Otros créditos con mutuos para vivienda
415350500	41535	05	00	Operaciones de leasing financiero para vivienda
415350900	41535	09	00	Otros créditos y cuentas por cobrar
415350901	41535	09	01	Créditos complementarios a los mutuos
415350902	41535	09	02	Créditos de enlace
415350903	41535	09	03	Créditos provenientes de la ANAP
415350990	41535	09	90	Cuentas por cobrar a deudores para vivienda
415380000	41538	00	00	Colocaciones de consumo
415380100	41538	01	00	Créditos de consumo en cuotas
415380200	41538	02	00	Deudores en cuentas corrientes
415380300	41538	03	00	Deudores por tarjetas de crédito
415380400	41538	04	00	Operaciones de leasing financiero de consumo
415380900	41538	09	00	Otros créditos y cuentas por cobrar
415380901	41538	09	01	Créditos de consumo rotativos
415380990	41538	09	90	Cuentas por cobrar a deudores de consumo
415450000	41545	00	00	Otros instrumentos financieros
415450100	41545	01	00	Depósitos en el Banco Central de Chile
415450101	41545	01	01	Depósitos en cuenta corriente
415450102	41545	01	02	Depósitos overnight
415450109	41545	01	09	Otros depósitos disponibles
415450300	41545	03	00	Depósitos en bancos del país
415450900	41545	09	00	Otros ingresos por reajustes de la U.F., IVP, IPC ganados
415600000	41560	00	00	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
415620000	41562	00	00	Instrumentos financieros de deuda
415620100	41562	01	00	Del Estado y Banco Central de Chile
415620101	41562	01	01	Instrumentos financieros de deuda del Banco Central de Chile
415620102	41562	01	02	Bonos y pagarés de la Tesorería General de la República
415620109	41562	01	09	Otros instrumentos financieros de deuda fiscales
415620200	41562	02	00	Otros instrumentos financieros de deuda emitidos en el país
415620201	41562	02	01	Instrumentos financieros de deuda de otros bancos del país
415620202	41562	02	02	Bonos y efectos de comercio de empresas del país
415620209	41562	02	09	Otros instrumentos financieros de deuda emitidos en el país
415620300	41562	03	00	Instrumentos financieros de deuda emitidos en el exterior
415620301	41562	03	01	Instrumentos financieros de deuda de Bancos Centrales en el exterior
415620302	41562	03	02	Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
415620303	41562	03	03	Instrumentos financieros de deuda de otros bancos en el exterior
415620304	41562	03	04	Bonos y efectos de comercio de empresas en el exterior
415620309	41562	03	09	Otros instrumentos financieros de deuda emitidos en el exterior
415640000	41564	00	00	Otros instrumentos financieros
415640100	41564	01	00	Créditos originados y adquiridos por la entidad
415640101	41564	01	01	Adeudado por bancos
415640102	41564	01	02	Colocaciones comerciales
415640103	41564	01	03	Colocaciones para vivienda
415640104	41564	01	04	Colocaciones de consumo
415640200	41564	02	00	Otros
415800000	41580	00	00	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC
415800100	41580	01	00	Utilidad por contratos de derivados financieros para cobertura contable
415800200	41580	02	00	Pérdida por contratos de derivados financieros para cobertura contable
415800300	41580	03	00	Resultados por ajuste de activos financieros cubiertos
416000000	41600	00	00	GASTOS POR REAJUSTES DE LA U.F., IVP, IPC
416100100	41610	01	00	PASIVOS FINANCIEROS A COSTO AMORTIZADO
416150000	41615	00	00	Depósitos y otras obligaciones a la vista
416150100	41615	01	00	Cuentas corrientes
416150101	41615	01	01	Cuentas corrientes de bancos del país
416150102	41615	01	02	Cuentas corrientes de bancos del exterior
416150103	41615	01	03	Cuentas corrientes de otras personas jurídicas
416150104	41615	01	04	Cuentas corrientes de personas naturales
416150200	41615	02	00	Cuentas de depósito a la vista
416150201	41615	02	01	Cuentas de ahorro a la vista
416150202	41615	02	02	Cuentas a la vista
416150300	41615	03	00	Otros depósitos a la vista
416150500	41615	05	00	Otras obligaciones a la vista
416180000	41618	00	00	Depósitos y otras captaciones a plazo
416180100	41618	01	00	Depósitos a plazo
416180200	41618	02	00	Cuentas de ahorro a plazo
416180201	41618	02	01	Cuentas de ahorro a plazo con giro diferido
416180202	41618	02	02	Cuentas de ahorro a plazo con giro incondicional
416180300	41618	03	00	Otros saldos acreedores a plazo
416180301	41618	03	01	Boletas de garantías pagaderas con 30 días de aviso
416180302	41618	03	02	Depósitos en cuentas overnight
416180390	41618	03	90	Otros
416250000	41625	00	00	Obligaciones por pactos de retrocompra y prestamos de valores
416250100	41625	01	00	Operaciones con bancos del país
416250101	41625	01	01	Contratos de retrocompra con otros bancos
416250102	41625	01	02	Contratos de retrocompra con Banco Central de Chile
416250103	41625	01	03	Obligaciones por préstamos de valores
416250200	41625	02	00	Operaciones con bancos del exterior
416250201	41625	02	01	Contratos de retrocompra con otros bancos
416250202	41625	02	02	Contratos de retrocompra con Bancos Centrales del exterior
416250203	41625	02	03	Obligaciones por préstamos de valores
416250300	41625	03	00	Operaciones con otras entidades en el país
416250301	41625	03	01	Contratos de retrocompra
416250302	41625	03	02	Obligaciones por préstamos de valores
416250400	41625	04	00	Operaciones con otras entidades en el exterior
416250401	41625	04	01	Contratos de retrocompra
416250402	41625	04	02	Obligaciones por préstamos de valores
416280000	41628	00	00	Obligaciones con bancos
416280100	41628	01	00	Bancos del país
416280110	41628	01	10	Financiamientos de comercio exterior
416280111	41628	01	11	Financiamientos para exportaciones chilenas
416280112	41628	01	12	Financiamientos para importaciones chilenas
416280113	41628	01	13	Obligaciones por operaciones entre terceros países
416280120	41628	01	20	Préstamos y otras obligaciones
416280121	41628	01	21	Préstamos interbancarios de liquidez
416280122	41628	01	22	Préstamos interbancarios comerciales
416280123	41628	01	23	Sobregiros en cuentas corrientes
416280124	41628	01	24	Depósitos a plazo no transferibles
416280129	41628	01	29	Otras obligaciones
416280200	41628	02	00	Bancos del exterior
416280210	41628	02	10	Financiamientos de comercio exterior
416280211	41628	02	11	Financiamientos para exportaciones chilenas
416280212	41628	02	12	Financiamientos para importaciones chilenas
416280213	41628	02	13	Obligaciones por operaciones entre terceros países
416280220	41628	02	20	Préstamos y otras obligaciones
416280221	41628	02	21	Préstamos interbancarios de liquidez
416280222	41628	02	22	Préstamos interbancarios comerciales
416280223	41628	02	23	Sobregiros en cuentas corrientes
416280224	41628	02	24	Depósitos a plazo no transferibles
416280229	41628	02	29	Otras obligaciones
416280300	41628	03	00	Banco Central de Chile
416280301	41628	03	01	Préstamos y otras obligaciones
416280302	41628	03	02	Líneas de crédito por reprogramación de deudas
416280400	41628	04	00	Banco Central del Exterior
416280401	41628	04	01	Préstamos y otras obligaciones
416280402	41628	04	02	Líneas de crédito por reprogramación de deudas
416350000	41635	00	00	Instrumentos financieros de deuda emitidos
416350100	41635	01	00	Letras de Créditos
416350101	41635	01	01	Letras de crédito para vivienda
416350102	41635	01	02	Letras de crédito para fines generales
416350200	41635	02	00	Bonos
416350201	41635	02	01	Bonos corrientes
416350203	41635	02	03	Bonos hipotecarios
416380000	41638	00	00	Otras obligaciones financieras
416380100	41638	01	00	Obligaciones con el sector público
416380101	41638	01	01	Financiamientos de CORFO
416380102	41638	01	02	Obligaciones con otros organismos gubernamentales
416380200	41638	02	00	Otras obligaciones en el país
416380201	41638	02	01	Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
416380202	41638	02	02	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas
416380203	41638	02	03	Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas
416380204	41638	02	04	Adeudado a operadores por servicios de operación de tarjetas de crédito
416380205	41638	02	05	Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas
