Descriptores de cuentas usados en reportes MR1

Periodo: Año 2022 - Mes: Octubre

CUENTA	GLOSA
412180201	               Cuentas de ahorro a plazo con giro diferido
412180202	               Cuentas de ahorro a plazo con giro incondicional
412180300	          Otros saldos acreedores a plazo
412180301	               Boletas de garantías pagaderas con 30 días de aviso
412180302	               Depósitos en cuentas “overnight”
412180390	               Otros
412250000	     Obligaciones por pactos de retrocompra y préstamos de valores
412250100	          Operaciones con bancos del país
412250101	               Contratos de retrocompra con otros bancos
412250102	               Contratos de retrocompra con Banco Central de Chile
412250103	               Obligaciones por préstamos de valores
412250200	          Operaciones con bancos del exterior
412250201	               Contratos de retrocompra con otros bancos
412250202	               Contratos de retrocompra con Bancos Centrales del exterior
412250203	               Obligaciones por préstamos de valores
412250300	          Operaciones con otras entidades en el país
412250301	               Contratos de retrocompra
412250302	               Obligaciones por préstamos de valores
412250400	          Operaciones con otras entidades en el exterior
412250401	               Contratos de retrocompra
412250402	               Obligaciones por préstamos de valores
412280000	     Obligaciones con bancos
412280100	       Bancos del país
412280110	          Financiamientos de comercio exterior
412280111	               Financiamientos para exportaciones chilenas
412280112	               Financiamientos para importaciones chilenas
412280113	               Obligaciones por operaciones entre terceros países
412280120	          Préstamos y otras obligaciones
412280121	               Préstamos interbancarios de liquidez
412280122	               Préstamos interbancarios comerciales
412280123	               Sobregiros en cuentas corrientes
412280124	               Depósitos a plazo no transferibles
412280129	               Otras obligaciones
412280200	          Bancos del exterior
412280210	          Financiamientos de comercio exterior
412280211	               Financiamientos para exportaciones chilenas
412280212	               Financiamientos para importaciones chilenas
412280213	               Obligaciones por operaciones entre terceros países
412280220	          Préstamos y otras obligaciones
412280221	               Préstamos interbancarios de liquidez
412280222	               Préstamos interbancarios comerciales
412280223	               Sobregiros en cuentas corrientes
412280224	               Depósitos a plazo no transferibles
412280229	               Otras obligaciones
412280300	          Banco Central de Chile
412280301	               Préstamos y otras obligaciones
412280302	               Líneas de crédito por reprogramación de deudas
412280400	          Bancos Centrales del exterior
412280401	               Préstamos y otras obligaciones
412280402	               Líneas de crédito por reprogramación de deudas
412350000	     Instrumentos financieros de deuda emitidos
412350100	          Letras de Créditos
412350101	               Letras de crédito para vivienda
412350102	               Letras de crédito para fines generales
412350200	          Bonos
412350201	               Bonos corrientes
412350203	               Bonos hipotecarios
412380000	     Otras obligaciones financieras
412380100	          Obligaciones con el sector público
412380101	               Financiamientos de CORFO
412380102	               Obligaciones con otros organismos gubernamentales
412380200	          Otras obligaciones en el país
412380201	               Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
412380202	               Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas
412380203	               Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas
412380204	               Adeudado a operadores por servicios de operación de tarjetas de crédito
412380205	               Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas
412380206	               Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas
412380207	               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
412380208	               Obligaciones a favor de exportadores chilenos
412380290	               Otros créditos obtenidos en el país
412380300	          Obligaciones con el exterior
412380301	               Adeudado a establecimientos afiliados por el uso de tarjetas
412380302	               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)
412380303	               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
412380304	               Obligaciones a favor de exportadores extranjeros
412380305	               Adeudado a organismos internacionales
412380306	               Otros créditos obtenidos en el exterior
412450000	OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO
412500000	INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
412500100	          Bonos subordinados
412800000	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS
412800100	          Utilidad por contratos de derivados financieros para cobertura contable
412800200	          Pérdida por contratos de derivados financieros para cobertura contable
412800300	          Resultados por ajuste de pasivos financieros cubiertos
520000000	INGRESO NETO POR INTERESES
415000000	INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC
415100000	ACTIVOS FINANCIEROS A COSTO AMORTIZADO
415150000	     Derechos por pactos de retroventa y prestamos de valores
415150100	          Operaciones con bancos del país
415150101	               Contratos de retroventa con otros bancos
415150102	               Contratos de retroventa con Banco Central de Chile
415150103	               Derechos por préstamos de valores
415150200	          Operaciones con bancos del exterior
415150201	               Contratos de retroventa con otros bancos
415150202	               Contratos de retroventa con Bancos Centrales del exterior
415150203	               Derechos por préstamos de valores
415150300	          Operaciones con otras entidades en el país
415150301	               Contratos de retroventa
415150302	               Derechos por préstamos de valores
415150400	          Operaciones con otras entidades en el exterior
415150401	               Contratos de retroventa
415150402	               Derechos por préstamos de valores
415200000	     Instrumentos financieros de deuda
415200100	          Del Estado y Banco Central de Chile
415200101	               Instrumentos financieros de deuda del Banco Central de Chile
415200102	               Bonos y pagarés de la Tesorería General de la República
415200109	               Otros instrumentos financieros de deuda fiscales
415200200	          Otros instrumentos financieros de deuda emitidos en el país
415200201	               Instrumentos financieros de deuda de otros bancos del país
415200202	               Bonos y efectos de comercio de empresas del país
415200209	               Otros instrumentos financieros de deuda emitidos en el país
415200300	          Instrumentos financieros de deuda emitidos en el exterior
415200301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
415200302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
415200303	               Instrumentos financieros de deuda de otros bancos en el exterior
415200304	               Bonos y efectos de comercio de empresas en el exterior
415200309	               Otros instrumentos financieros de deuda emitidos en el exterior
415250000	     Adeudado por bancos
415250100	          Bancos del país
415250101	               Préstamos interbancarios de liquidez
415250102	               Préstamos interbancarios comerciales
415250103	               Sobregiros en cuentas corrientes
415250104	               Créditos comercio exterior exportaciones chilenas
415250105	               Créditos comercio exterior importaciones chilenas
415250106	               Créditos comercio exterior entre terceros países
415250107	               Depósitos no transferibles en bancos del país
415250190	               Otras acreencias con bancos del país
415250200	          Bancos del exterior
415250201	               Préstamos interbancarios de liquidez
415250202	               Préstamos interbancarios comerciales
415250203	               Sobregiros en cuentas corrientes
415250204	               Créditos comercio exterior exportaciones chilenas
415250205	               Créditos comercio exterior importaciones chilenas
415250206	               Créditos comercio exterior entre terceros países
415250207	               Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
415250208	               Otros depósitos no transferibles en bancos del exterior
415250290	               Otras acreencias con bancos del exterior
415250300	          Banco Central de Chile
415250301	               Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER
415250302	               Otros depósitos en el Banco Central de Chile no disponibles
415250390	               Otras acreencias con el Banco Central de Chile
415250400	          Bancos Centrales del exterior
415250401	               Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
415250402	               Otros depósitos en Bancos Centrales del exterior no disponibles
415250403	               Otras acreencias con Bancos Centrales del exterior
415280000	     Colocaciones comerciales
415280100	          Préstamos comerciales
415280101	               Préstamos en el país
415280102	               Préstamos en el exterior
415280103	               Créditos para infraestructura escolar Ley N° 20.845
415280104	               Préstamos con letras de crédito para fines generales
415280105	               Préstamos con mutuos hipotecarios endosables para fines generales
415280106	               Préstamos con mutuos hipotecarios no endosables para fines generales
415280200	          Créditos de comercio exterior
415280201	               Acreditivos negociados a plazo de exportaciones chilenas
415280209	               Otros créditos para exportaciones chilenas
415280221	               Acreditivos negociados a plazo de importaciones chilenas
415280229	               Otros créditos para importaciones chilenas
415280231	               Acreditivos negociados a plazo de operaciones entre terceros países
415280239	               Otros créditos para operaciones entre terceros países
415280300	          Deudores en cuentas corrientes
415280400	          Deudores por tarjetas de crédito
415280500	          Operaciones de factoraje
415280501	               Factoring con responsabilidad
415280502	               Factoring sin responsabilidad
415280600	          Operaciones de leasing financiero comercial
415280601	               Leasing por bienes inmobiliarios
415280602	               Leasing por bienes no inmobiliarios
415280700	          Préstamos estudiantiles
415280701	               Créditos para estudios superiores Ley N° 20.027
415280702	               Créditos con garantía CORFO
415280709	               Otros créditos para estudios superiores
415280900	          Otros créditos y cuentas por cobrar
415280901	               Deudores por pago de obligaciones avaladas
415280902	               Deudores por boletas de garantía pagadas
415280990	               Otras cuentas por cobrar
415350000	     Colocaciones para vivienda
415350100	          Préstamos con letras de crédito para vivienda
415350200	          Préstamos con mutuos hipotecarios endosable
415350300	          Préstamos con mutuos financiados con bonos hipotecarios
415350400	          Otros créditos con mutuos para vivienda
415350401	               Otros créditos con mutuos no endosables para vivienda
415350402	               Otros créditos con mutuos para vivienda
415350500	          Operaciones de leasing financiero para vivienda
415350900	          Otros créditos y cuentas por cobrar
415350901	               Créditos complementarios a los mutuos
415350902	               Créditos de enlace
415350903	               Créditos provenientes de la ANAP
415350990	               Cuentas por cobrar a deudores para vivienda
415380000	     Colocaciones de consumo
415380100	          Créditos de consumo en cuotas
415380200	          Deudores en cuentas corrientes
415380300	          Deudores por tarjetas de crédito
415380400	          Operaciones de leasing financiero de consumo
415380900	          Otros créditos y cuentas por cobrar
415380901	               Créditos de consumo rotativos
415380990	               Cuentas por cobrar a deudores de consumo
415450000	     Otros instrumentos financieros
415450100	          Depósitos en el Banco Central de Chile
415450101	               Depósitos en cuenta corriente
415450102	               Depósitos overnight
415450109	               Otros depósitos disponibles
415450300	          Depósitos en bancos del país
415450900	          Otros ingresos por reajustes de la U.F., IVP, IPC ganados
415600000	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
415620000	     Instrumentos financieros de deuda
415620100	          Del Estado y Banco Central de Chile
415620101	               Instrumentos financieros de deuda del Banco Central de Chile
415620102	               Bonos y pagarés de la Tesorería General de la República
415620109	               Otros instrumentos financieros de deuda fiscales
415620200	          Otros instrumentos financieros de deuda emitidos en el país
415620201	               Instrumentos financieros de deuda de otros bancos del país
415620202	               Bonos y efectos de comercio de empresas del país
415620209	               Otros instrumentos financieros de deuda emitidos en el país
415620300	          Instrumentos financieros de deuda emitidos en el exterior
415620301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
415620302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
415620303	               Instrumentos financieros de deuda de otros bancos en el exterior
415620304	               Bonos y efectos de comercio de empresas en el exterior
415620309	               Otros instrumentos financieros de deuda emitidos en el exterior
415640000	     Otros instrumentos financieros
415640100	          Créditos originados y adquiridos por la entidad
415640101	               Adeudado por bancos
415640102	               Colocaciones comerciales
415640103	               Colocaciones para vivienda
415640104	               Colocaciones de consumo
415640200	          Otros
415800000	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC
415800100	          Utilidad por contratos de derivados financieros para cobertura contable
415800200	          Pérdida por contratos de derivados financieros para cobertura contable
415800300	          Resultados por ajuste de activos financieros cubiertos
416000000	GASTOS POR REAJUSTES DE LA U.F., IVP, IPC
416100100	PASIVOS FINANCIEROS A COSTO AMORTIZADO
416150000	     Depósitos y otras obligaciones a la vista
416150100	          Cuentas corrientes
416150101	               Cuentas corrientes de bancos del país
416150102	               Cuentas corrientes de bancos del exterior
416150103	               Cuentas corrientes de otras personas jurídicas
416150104	               Cuentas corrientes de personas naturales
416150200	          Cuentas de depósito a la vista
416150201	               Cuentas de ahorro a la vista
416150202	               Cuentas a la vista
416150300	          Otros depósitos a la vista
416150500	          Otras obligaciones a la vista
416180000	     Depósitos y otras captaciones a plazo
416180100	          Depósitos a plazo
416180200	          Cuentas de ahorro a plazo
416180201	               Cuentas de ahorro a plazo con giro diferido
416180202	               Cuentas de ahorro a plazo con giro incondicional
416180300	          Otros saldos acreedores a plazo
416180301	               Boletas de garantías pagaderas con 30 días de aviso
416180302	               Depósitos en cuentas “overnight”
416180390	               Otros
416250000	     Obligaciones por pactos de retrocompra y prestamos de valores
416250100	          Operaciones con bancos del país
416250101	               Contratos de retrocompra con otros bancos
416250102	               Contratos de retrocompra con Banco Central de Chile
416250103	               Obligaciones por préstamos de valores
416250200	          Operaciones con bancos del exterior
416250201	               Contratos de retrocompra con otros bancos
416250202	               Contratos de retrocompra con Bancos Centrales del exterior
416250203	               Obligaciones por préstamos de valores
416250300	          Operaciones con otras entidades en el país
416250301	               Contratos de retrocompra
416250302	               Obligaciones por préstamos de valores
416250400	          Operaciones con otras entidades en el exterior
416250401	               Contratos de retrocompra
416250402	               Obligaciones por préstamos de valores
416280000	     Obligaciones con bancos
416280100	       Bancos del país
416280110	          Financiamientos de comercio exterior
416280111	               Financiamientos para exportaciones chilenas
416280112	               Financiamientos para importaciones chilenas
416280113	               Obligaciones por operaciones entre terceros países
416280120	          Préstamos y otras obligaciones
416280121	               Préstamos interbancarios de liquidez
416280122	               Préstamos interbancarios comerciales
416280123	               Sobregiros en cuentas corrientes
416280124	               Depósitos a plazo no transferibles
416280129	               Otras obligaciones
416280200	          Bancos del exterior
416280210	          Financiamientos de comercio exterior
416280211	               Financiamientos para exportaciones chilenas
416280212	               Financiamientos para importaciones chilenas
416280213	               Obligaciones por operaciones entre terceros países
416280220	          Préstamos y otras obligaciones
416280221	               Préstamos interbancarios de liquidez
416280222	               Préstamos interbancarios comerciales
416280223	               Sobregiros en cuentas corrientes
416280224	               Depósitos a plazo no transferibles
416280229	               Otras obligaciones
416280300	          Banco Central de Chile
416280301	               Préstamos y otras obligaciones
416280302	               Líneas de crédito por reprogramación de deudas
416280400	          Banco Central del Exterior
416280401	               Préstamos y otras obligaciones
416280402	               Líneas de crédito por reprogramación de deudas
416350000	     Instrumentos financieros de deuda emitidos
416350100	          Letras de Créditos
416350101	               Letras de crédito para vivienda
416350102	               Letras de crédito para fines generales
416350200	          Bonos
416350201	               Bonos corrientes
416350203	               Bonos hipotecarios
416380000	     Otras obligaciones financieras
416380100	          Obligaciones con el sector público
416380101	               Financiamientos de CORFO
416380102	               Obligaciones con otros organismos gubernamentales
416380200	          Otras obligaciones en el país
416380201	               Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
416380202	               Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas
416380203	               Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas
416380204	               Adeudado a operadores por servicios de operación de tarjetas de crédito
416380205	               Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas
416380206	               Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas
416380207	               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
416380208	               Obligaciones a favor de exportadores chilenos
416380290	               Otros créditos obtenidos en el país
416380300	          Obligaciones con el exterior
416380301	               Adeudado a establecimientos afiliados por el uso de tarjetas
416380302	               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)
416380303	               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
416380304	               Obligaciones a favor de exportadores extranjeros
416380305	               Adeudado a organismos internacionales
416380306	               Otros créditos obtenidos en el exterior
416500000	INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
416500100	          Bonos subordinados
416500200	          Bonos sin plazo fijo de vencimiento
416800000	RESULTADO DE COBERTURAS CONTABLES DEL RIESGO POR REAJUSTES DE LA U.F., IVP, IPC
416800100	          Utilidad por contratos de derivados financieros para cobertura contable
416800200	          Pérdida por contratos de derivados financieros para cobertura contable
416800300	          Resultados por ajuste de pasivos financieros cubiertos
525000000	INGRESO NETO POR REAJUSTES DE LA U.F., IVP, IPC
420000000	INGRESOS POR COMISIONES Y SERVICIOS PRESTADOS
422150100	          Comisiones por prepago de créditos
422150101	               Créditos otorgados a bancos
422150102	               Créditos comerciales
422150103	               Créditos para vivienda
422150104	               Créditos de consumo
422180100	          Comisiones de préstamos con letras de crédito
422180101	               Comisiones de préstamos con letras de crédito para vivienda
422180102	               Comisiones de préstamos con letras de crédito para fines generales
422250100	          Comisiones por líneas de crédito y sobregiros en cuenta corriente
422250101	               Líneas de crédito
422250102	               Sobregiros pactados
422280100	          Comisiones por avales y cartas de crédito
422280101	               Cartas de crédito de operaciones de circulación de mercancías
422280102	               Avales y fianzas
422280103	               Cartas de crédito stand-by
422280104	               Boletas de garantía enteradas con pagaré u otro título de crédito a favor del banco
422280105	               Boletas de garantía enteradas con depósito en dinero
422280190	               Otros
422350100	          Comisiones por servicios de tarjetas
422350101	               Tarjetas de cajeros automáticos
422350102	               Tarjetas de crédito - comisiones de titulares
422350103	               Tarjetas de crédito - comisiones de establecimientos
422350104	               Tarjetas de débito - comisiones de titulares
422350105	               Tarjetas de débito - comisiones de establecimientos
422350106	               Tarjetas de pago con provisión de fondos para tarjetas nominativas – comisiones de titulares
422350107	               Tarjetas de pago con provisión de fondos para tarjetas innominadas – comisiones de titulares
422350108	               Tarjetas de pago con provisión de fondos para tarjetas nominativas – comisiones de establecimientos
422350109	               Tarjetas de pago con provisión de fondos para tarjetas innominadas – comisiones de establecimientos
422350190	               Otras tarjetas
422380100	          Comisiones por administración de cuentas
422380101	               Cuentas corrientes a personas naturales
422380102	               Cuentas corrientes a personas jurídicas
422380103	               Cuentas de ahorro a la vista
422380104	               Cuentas a la vista
422380105	               Cuentas de tarjetas de pago con provisión de fondos – tarjetas nominativas
422380106	               Cuentas de tarjetas de pago con provisión de fondos - tarjetas innominadas
422380107	               Cuentas de ahorro a plazo (con giro diferido e incondicional)
422380190	               Otras cuentas
422450100	          Comisiones por cobranzas, recaudaciones y pagos
422450101	               Cobranza de títulos de crédito de clientes
422450102	               Cobranzas por cuenta de bancos extranjeros
422450103	               Transferencias, giros y otras órdenes de pago
422450104	               Convenios de pago de remuneraciones
422450105	               Convenios de pago a proveedores
422450106	               Recaudaciones de impuestos
422450107	               Cobranza o recaudación de primas de seguros
422450108	               Recaudaciones de pagos de servicios
422450190	               Otros
422480100	          Comisiones por intermediación y manejo de valores (Corredores de Bolsa y/o Agencia de Valores)
422480101	               Intermediación de valores
422480102	               Administración de carteras de clientes
422480103	               Custodia de valores
422480190	               Otras comisiones por servicios de valores
422550100	          Remuneraciones por administración de fondos mutuos, fondos de inversión u otros
422550101	               Personas naturales por APV, APVC.
422550102	               Personas naturales por otros productos
422550103	               Personas jurídicas por inversionistas calificados
422550104	               Personas jurídicas por otro tipo de inversionistas
422580000	          Remuneraciones por intermediación y asesoría de seguros
422580100	            Seguros relacionados con otorgamiento de créditos a personas naturales
422580101	               Seguros asociados a colocaciones de consumo
422580102	               Seguros asociados a colocaciones para vivienda
422580200	            Seguros no relacionados con otorgamiento de créditos a personas naturales
422580300	            Seguros relacionados con otorgamiento de créditos a personas jurídicas
422580400	            Seguros no relacionados con otorgamiento de créditos a personas jurídicas
422650100	          Comisiones por servicios de operaciones de factoraje
422680100	          Comisiones por servicios de operaciones de leasing financiero
422750100	          Comisiones por securitizaciones
422780100	          Comisiones por asesorías financieras
422780101	               Emisión y colocación de instrumentos financieros (acciones, bonos, cuotas de Fondos Mutuos, cuotas de Fondos de Inversión, otros)
422780102	               Reestructuración y financiamiento de pasivos financieros
422780103	               Compra y venta de empresas
422780190	               Otros servicios de asesoría financiera
422850100	          Otras comisiones ganadas
422850101	               Cambio de moneda extranjera
422850102	               Emisión de vales vista
422850103	               Emisión de boletas de garantía
422850104	               Comisiones de confianza
422850105	               Operaciones de comercio exterior
422850106	               Administración de créditos estudiantiles
422850190	               Otras remuneraciones por servicios prestados
425000000	GASTOS POR COMISIONES Y SERVICIOS RECIBIDOS
425150100	          Comisiones por operación de tarjetas
425150101	               Tarjetas de cajeros automáticos
425150102	               Tarjetas de crédito
425150103	               Tarjetas de débito
425150104	               Tarjetas de pago con provisión de fondos - tarjetas nominativas
425150105	               Tarjetas de pago con provisión de fondos - tarjetas innominadas
425150190	               Otras tarjetas
425180100	          Comisiones por licencia de uso de marcas de tarjetas
425180101	               Tarjetas de crédito
425180102	               Tarjetas de débito
425180103	               Tarjetas de pago con provisión de fondos - tarjetas nominativas
425180104	               Tarjetas de pago con provisión de fondos - tarjetas innominadas
